Sku,Name,Details,Wine Type,Vintage,Size,Price,Sale price,Image
10,Casa del Toro Cabernet Sauvignon,This wine is made out of selected Cabernet ...,Cabernet Sauvignon,2014,750ML,6.49,4.99,http://www.getwineonline.com//labels/t_B00010.JPG
24,Casa del Toro Cabernet Sauvignon Merlot,This wine is made out of selected grapes from our,Cabernet Sauvignon,2015,750ML,6.49,4.99,http://www.getwineonline.com//labels/t_B00024.jpg
34347,Sweet Heart Cabernet Red Semi Sweet,,Cabernet Sauvignon,,750ML,6.49,4.99,http://www.getwineonline.com//images/t_not_available.gif
3735,Crane Lake Cabernet Sauvignon,"Ruby-like, bright, fruity with black plum and ...",Cabernet Sauvignon,2013,750ML,6.49,4.99,http://www.getwineonline.com//labels/t_P03735.jpg
32021,Flipflop Cabernet Sauvignon,"FLIPFLOP CAB SAUV Full-bodied, Cabernet Sauvignon",Cabernet Sauvignon,2013,750ML,6.49,4.99,http://library.bevnetwork.com/bottles/500/t_80395.jpg
3875,Tisdale Cabernet Sauvignon,"With flavors of ripe blackberry and plum, our ...",Cabernet Sauvignon,,750ML,6.69,5.14,http://www.getwineonline.com//labels/t_P03875.jpg
17065,Glen Ellen Concannon Cab Sauv,MIX & MATCH !!!!! 3 FOR $13.50 3 FOR $13.50 3 FOR,Cabernet Sauvignon,2011,750ML,6.99,5.38,http://www.getwineonline.com//labels/t_B17065.JPG
3845,E&J Gallo Cab Sauv,Rich black fruit and spice complement the robust ...,Cabernet Sauvignon,,750ML,7.79,5.99,http://www.getwineonline.com//labels/t_P03845.JPG
49656,Vitiano Rosato,"Vitiano Rosato is produced from 30% Sangiovese, ...",Cabernet Sauvignon,2014,750ML,7.99,5.99,http://library.bevnetwork.com/labels/620/t_189758.jpg
17156,Placido Chianti,"""Pale, straw yellow color. Delicate white fruit ...",Cabernet Sauvignon,2013,750ML,7.79,5.99,http://library.bevnetwork.com/labels/620/t_274520.jpg
44568,Frontera Cabernet Sauvignon Merlot,Fresh ...,Cabernet Sauvignon,2014,750ML,7.79,5.99,http://library.bevnetwork.com/labels/565/t_29457.jpg
26968,Rex Goliath Cabernet Sauvignon,"Dark and intense in color. Hints of cedar and oak,",Cabernet Sauvignon,,750ML,7.79,5.99,http://library.bevnetwork.com/labels/565/t_157596.jpg
3391,Barefoot Cabernet Sauvignon,"Big berry flavors like currant, raspberry and ...",Cabernet Sauvignon,2012,750ML,7.99,6.17,http://library.bevnetwork.com/labels/500/t_127744.jpg
24820,CK Mondavi Cabernet Sauvignon Wildcreek Canyon,Rich with cherry and blackberry flavors that are ...,Cabernet Sauvignon,2014,750ML,7.99,6.18,http://library.bevnetwork.com/labels/500/t_83839.jpg
21950,Woodbridge By Robert Mondavi Cabernet Sauvignon,Woodbridge by Robert Mondavi Cabernet Sauvignon ...,Cabernet Sauvignon,2013,750ML,7.99,6.19,http://library.bevnetwork.com/labels/500/t_235961.jpg
14124,Finca Flichman Cabernet Sauvignon Roble,"Aged 3 months in oak and bottle aged, this 100% ...",Cabernet Sauvignon,2014,750ML,7.99,6.19,http://library.bevnetwork.com/bottles/540/t_139467.jpg
840,Penfolds Cabernet Sauvignon Rawson's Retreat,This wine is fermented on skins to further ...,Cabernet Sauvignon,2014,750ML,8.49,6.49,http://library.bevnetwork.com/labels/545/t_229327.jpg
250,Culitos Rose,Full Bodied. No butts about it. Great Fruit ...,Cabernet Sauvignon,2013,750ML,8.49,6.49,http://www.getwineonline.com//labels/t_P00250.jpg
34338,Terra Vega Cabernet Sauvignon,Our Terra Vega Cabernet Sauvignon is abundant ...,Cabernet Sauvignon,2014,750ML,8.59,6.59,http://library.bevnetwork.com/labels/565/t_291429.jpg
29518,Luscious Vines Cabernet Sauvignon,"Despite being the ""Blackberry"" it had huge notes ...",Cabernet Sauvignon,,750ML,8.59,6.59,http://library.bevnetwork.com/bottles/565/t_182705.jpg
